"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K510","2020-03-16 00:00:00","10.000","18.000","0.300","17.000","0.730","1018.000","","0.500","-99.000","-99.000","-99.000","23.200","","14.600",""
"CM0180","2020-03-16 00:00:00","313.000","0.000","0.100","15.300","0.930","984.600","","0.000","-99.000","-99.000","-99.000","21.900","","14.200",""
"C0T9N0","2020-03-16 00:00:00","261.000","0.000","0.100","14.100","0.920","992.500","","0.000","-99.000","-99.000","-99.000","15.800","","13.000",""
"C0K470","2020-03-16 00:00:00","97.000","104.000","0.600","16.300","0.990","1008.400","","0.500","-99.000","-99.000","-99.000","22.600","","12.400",""
"C0R720","2020-03-16 00:00:00","214.000","350.000","4.300","16.600","0.790","996.400","","1.500","-99.000","-99.000","-99.000","17.100","","14.900",""
"C0V650","2020-03-16 00:00:00","28.000","123.000","1.700","18.800","0.740","1018.400","","0.000","-99.000","-99.000","-99.000","22.400","","16.600",""
"C0H9C0","2020-03-16 00:00:00","3402.000","298.000","1.900","1.700","0.240","675.400","","1.000","-99.000","-99.000","-99.000","1.900","","-1.600",""
"C0U780","2020-03-16 00:00:00","15.000","282.000","1.500","14.300","0.780","1021.400","","0.000","-99.000","-99.000","-99.000","20.300","","13.600",""
"C0U760","2020-03-16 00:00:00","22.000","0.000","0.000","13.900","0.870","1021.500","","0.000","-99.000","-99.000","-99.000","21.000","","13.700",""
"C0X290","2020-03-16 00:00:00","10.000","90.000","1.100","17.400","0.790","1018.600","","0.000","-99.000","-99.000","-99.000","21.700","","16.300",""
"C0E830","2020-03-16 00:00:00","37.000","106.000","0.900","14.800","0.700","1015.300","","0.000","-99.000","-99.000","-99.000","20.600","","14.400",""
"C0K330","2020-03-16 00:00:00","38.000","0.000","0.000","17.900","0.690","1015.100","","0.000","-99.000","-99.000","-99.000","24.300","","14.100",""
"C0M660","2020-03-16 00:00:00","40.000","319.000","0.700","17.400","0.740","1015.800","","0.000","-99.000","-99.000","-99.000","23.800","","14.600",""
"C0D580","2020-03-16 00:00:00","120.000","0.000","0.000","11.500","0.920","1006.400","","0.000","-99.000","-99.000","-99.000","22.700","","10.900",""
"C0R640","2020-03-16 00:00:00","21.000","89.000","2.300","20.000","0.630","1018.000","","0.000","-99.000","-99.000","-99.000","22.600","","17.700",""
"C0E810","2020-03-16 00:00:00","53.000","0.000","0.000","11.600","0.940","1014.400","","0.000","-99.000","-99.000","-99.000","21.900","","11.500",""
"C0G830","2020-03-16 00:00:00","27.000","0.000","0.000","17.200","0.750","1014.900","","0.000","-99.000","-99.000","-99.000","22.900","","14.500",""
"C0A550","2020-03-16 00:00:00","422.000","0.000","0.000","6.400","1.000","973.900","","0.000","-99.000","-99.000","-99.000","17.200","","6.400",""
"C0G750","2020-03-16 00:00:00","31.000","0.000","0.000","16.600","0.700","1017.200","","-99.000","-99.000","-99.000","-99.000","23.000","","14.900",""
"C0Z270","2020-03-16 00:00:00","343.000","242.000","2.600","13.900","0.750","982.800","","0.500","-99.000","-99.000","-99.000","15.100","","12.300",""
"C0UA30","2020-03-16 00:00:00","1397.000","123.000","0.600","4.800","1.000","865.300","","0.500","-99.000","-99.000","-99.000","7.300","","4.000",""
"C0I080","2020-03-16 00:00:00","536.000","0.000","0.000","14.500","0.910","961.200","","0.000","-99.000","-99.000","-99.000","19.200","","12.600",""
"C0UA00","2020-03-16 00:00:00","392.000","199.000","0.600","10.200","0.890","978.200","","0.000","-99.000","-99.000","-99.000","19.800","","9.800",""
"C0AD40","2020-03-16 00:00:00","32.000","45.000","2.600","14.700","0.630","1017.300","","0.000","-99.000","-99.000","-99.000","20.500","","13.400",""
"C0G900","2020-03-16 00:00:00","20.000","79.000","2.200","17.100","0.700","1016.200","","0.000","-99.000","-99.000","-99.000","21.400","","16.300",""
"C0S660","2020-03-16 00:00:00","794.000","0.000","0.200","11.000","0.980","933.200","","0.500","-99.000","-99.000","-99.000","12.400","","11.000",""
"C0M640","2020-03-16 00:00:00","155.000","0.000","0.000","18.200","0.710","1001.700","","0.000","-99.000","-99.000","-99.000","23.400","","14.100",""
"C0R660","2020-03-16 00:00:00","20.000","360.000","0.500","19.600","0.610","1018.100","","0.500","-99.000","-99.000","-99.000","22.800","","17.600",""
"C0UA10","2020-03-16 00:00:00","1711.000","317.000","1.000","2.100","1.000","835.400","","0.500","-99.000","-99.000","-99.000","5.900","","1.800",""
"C0V770","2020-03-16 00:00:00","26.000","82.000","0.900","18.300","0.740","1016.700","","0.000","-99.000","-99.000","-99.000","24.500","","16.300",""
"C0E730","2020-03-16 00:00:00","26.000","136.000","0.700","14.300","0.770","1015.900","","0.000","-99.000","-99.000","-99.000","22.100","","14.100",""
